Rank  ,Name ,Name,Rank,CoC Name,Rank-Number,Overall Homeless,PIT,Rank-HomelessPopulation,Rank-Rate,Rank-Rate (CoC Rates and Ranking),Rate,Rate of Homelessness,ValueToDisplay,ValueToDisplay CoC
178,FL-606,FL,22,Naples/Collier County CoC,230,462,"25,959",3,22,178,11.892485771,12.0,12,11.969532100
127,LA-503,LA,15,New Orleans/Jefferson Parish CoC,110,"1,214","7,373",20,15,127,15.934393436,15.0,16,14.975470574
329,WV-508,WV,45,West Virginia Balance of State CoC,167,720,"1,375",49,45,329,7.700811974,5.8,8,5.761060035
336,NE-500,NE,24,Nebraska Balance of State CoC,226,482,"2,246",42,24,336,11.438442742,5.5,11,5.531532028
276,TX-624,TX,37,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",305,249,"24,432",5,37,276,8.265540922,7.4,8,7.407715925
208,NV-502,NV,10,Nevada Balance of State CoC,263,368,"7,618",19,10,208,24.211782220,10.3,24,10.275799097
20,CA-516,CA,2,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",69,"1,837","171,521",1,2,20,43.819083728,57.5,44,57.518590998
224,IL-501,IL,49,"Rockford/DeKalb, Winnebago, Boone Counties CoC",247,406,"9,212",15,49,224,7.261279715,9.3,7,9.297170546
383,AL-506,AL,48,Tuscaloosa City & County CoC,383,40,"3,752",31,48,383,7.429929546,1.8,7,1.762060201
365,KS-505,KS,39,"Overland Park, Shawnee/Johnson County CoC",328,212,"2,397",39,39,365,8.158827906,3.5,8,3.457166200
26,CA-531,CA,2,Nevada County CoC,209,527,"171,521",1,2,26,43.819083728,50.9,44,50.924270681
303,MI-500,MI,38,Michigan Balance of State CoC,84,"1,585","8,206",17,38,303,8.175339208,6.5,8,6.452043608
335,LA-502,LA,15,"Shreveport, Bossier/Northwest Louisiana CoC",302,255,"7,373",20,15,335,15.934393436,5.5,16,5.546890805
196,WY-500,WY,25,Wyoming Statewide CoC,180,648,648,51,25,196,11.182381537,11.2,11,11.195519028
330,MO-606,MO,30,Missouri Balance of State CoC,88,"1,571","5,992",22,30,330,9.711785897,5.8,10,5.750972284
40,OR-504,OR,4,"Salem/Marion, Polk Counties CoC",71,"1,805","17,959",6,4,40,42.193914387,41.4,42,41.372228576
61,MN-501,MN,20,Saint Paul/Ramsey County CoC,76,"1,713","7,917",18,20,61,13.861577867,31.5,14,31.532037323
140,NE-502,NE,24,Lincoln CoC,245,418,"2,246",42,24,140,11.438442742,14.3,11,14.282931896
263,PA-512,PA,29,York City & County CoC,267,358,"12,691",9,29,263,9.753260418,7.8,10,7.804733418
2,CA-501,CA,2,San Francisco CoC,9,"7,754","171,521",1,2,2,43.819083728,95.1,44,95.117645832
288,NJ-509,NJ,31,Morris County CoC,270,351,"8,752",16,31,288,9.443285314,6.9,9,6.869139948
129,MA-506,MA,12,Worcester City & County CoC,104,"1,277","15,507",7,12,129,22.185533264,14.8,22,14.813886772
294,VA-521,VA,47,Virginia Balance of State CoC,119,"1,125","6,529",21,47,294,7.541555658,6.6,8,6.648625744
3,CA-509,CA,2,Mendocino County CoC,153,830,"171,521",1,2,3,43.819083728,90.9,44,90.904112590
108,CA-602,CA,2,"Santa Ana, Anaheim/Orange County CoC",14,"5,718","171,521",1,2,108,43.819083728,18.1,44,18.050330686
269,OH-504,OH,33,Youngstown/Mahoning County CoC,340,174,"10,654",11,33,269,9.056180108,7.7,9,7.673243312
322,AL-505,AL,48,Gadsden/Northeast Alabama CoC,337,190,"3,752",31,48,322,7.429929546,6.0,7,6.013742985
46,MA-515,MA,12,Fall River CoC,265,361,"15,507",7,12,46,22.185533264,38.5,22,38.451706361
123,SD-500,SD,16,South Dakota Statewide CoC,95,"1,389","1,389",48,16,123,15.499395200,15.5,15,15.513035864
283,PA-600,PA,29,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",143,880,"12,691",9,29,283,9.753260418,7.1,10,7.107722379
273,IL-517,IL,49,"Aurora, Elgin/Kane County CoC",252,391,"9,212",15,49,273,7.261279715,7.6,7,7.583574482
4,CA-508,CA,2,Watsonville/Santa Cruz City & County CoC,50,"2,299","171,521",1,2,4,43.819083728,85.9,44,85.850212105
